NAME	dbtype	SIZE	NES_NOI_DMSO_vs_Palbo_DMSO	FDR_q-val_NOI_DMSO_vs_Palbo_DMSO	NES_NOI_DMSO_vs_SY5609_DMSO	FDR_q-val_NOI_DMSO_vs_SY5609_DMSO	NES_NOI_DMSO_vs_NOI_IFN	FDR_q-val_NOI_DMSO_vs_NOI_IFN	NES_SY5609_DMSO_vs_SY5609_IFN	FDR_q-val_SY5609_DMSO_vs_SY5609_IFN
NEUROTRANSMITTER_REUPTAKE	GOBP	33	5.059775	0.25371724	0.8902391	1.0	0.7118541	1.0	-1.0101421	0.772678
ABNORMAL_MACROPHAGE_MORPHOLOGY	HP	30	4.956062	0.32962582	-1.1223947	0.8588203999999999	-0.9037423000000001	0.90168464	-1.6427327	0.07756544
NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	GOBP	32	4.741224	0.36357814	-0.8797709999999999	1.0	-1.1603366000000002	0.6384976	-1.3897367	0.22272709
TRANSCRIPTION_BY_RNA_POLYMERASE_I	GOBP	49	4.7419124	0.37349963	-1.0861981	0.91936904	-1.1986886	0.5901339	-0.79931664	0.9757793
TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING	GOMF	28	4.9256444	0.37483045	-1.0875906000000002	0.9173443000000001	-0.64239997	1.0	-0.72219294	0.9994609
HYPERACUSIS	HP	28	4.732416000000001	0.3833321	-0.90928054	1.0	-0.8348377	0.9508175	-1.4041936000000002	0.21160781
INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	GOMF	37	4.8641434	0.38380858	-0.5656089	1.0	-0.73536396	0.99037665	-1.458676	0.16786194
NYSTAGMUS_INDUCED_HEAD_NODDING	HP	24	4.742538	0.38424438	-0.9224511000000001	1.0	-0.8184776999999999	0.95850855	-1.4096208000000001	0.20832047
ENDODERMAL_CELL_DIFFERENTIATION	GOBP	41	4.964926	0.38913309999999995	-0.7359518	1.0	-0.95685714	0.8560686	-1.5605835	0.105204836
ELFIN_FACIES	HP	27	4.8480362999999995	0.39142203	-0.96640515	1.0	-0.95284796	0.85809696	-1.473114	0.1570946
PROTEIN_PHOSPHORYLATED_AMINO_ACID_BINDING	GOMF	53	4.761181	0.3919038	-0.8540380999999999	1.0	-1.187785	0.6034381	-1.3884463	0.22411981
RESPIRATORY_BURST	GOBP	30	4.773564299999999	0.39343837	-1.242553	0.69651794	0.65363455	1.0	-1.09059	0.6496504
POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION	GOBP	27	4.743418	0.39496177	-1.0579556	0.96963054	0.72478205	1.0	-1.4566272	0.16893236
REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	GOBP	44	4.7469325	0.39617875	1.2476304	1.0	2.4102460999999997	0.23024465	0.42958978	1.0
TOXIN_TRANSPORT	GOBP	37	4.998203299999999	0.39770433	-0.7020708000000001	1.0	-0.86187685	0.9345161	-1.0649902	0.69224757
NEURON_MATURATION	GOBP	43	4.720473	0.3980646	-0.968949	1.0	-0.48587137	1.0	-1.3143723999999999	0.3110725
REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	GOBP	30	4.7765203000000005	0.40023994	-1.1786908	0.7755102	-1.3040441999999999	0.46803606	-1.1034956	0.6317507
POSITIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	GOBP	22	4.751307	0.40034770000000003	-1.0831995	0.9232193999999999	-1.2243141000000002	0.5628132	-1.3389396999999998	0.27985927
CHRONIC_PULMONARY_OBSTRUCTION	HP	33	5.117569400000001	0.41167003	-1.1356859	0.84090275	-0.48729432	1.0	-1.6712276999999998	0.065081775
RENAL_DUPLICATION	HP	39	4.778688	0.41222796	-0.68559676	1.0	-0.9500748999999999	0.8614031999999999	-1.6278224	0.08278649
RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	GOBP	51	4.8660955	0.41684399999999994	-1.1806021	0.77557856	-1.0550393	0.75459355	-0.9260765	0.8736503000000001
RETINAL_ARTERIOLAR_TORTUOSITY	HP	36	4.781455	0.42244807	-0.976073	1.0	-0.7720819	0.98340493	-1.5557126000000001	0.10810154
BOWEL_DIVERTICULOSIS	HP	36	4.8125860000000005	0.42697528	-0.9184839	1.0	-1.0263426	0.78847665	-1.2657847	0.37186188
EMBRYONIC_HINDLIMB_MORPHOGENESIS	GOBP	27	4.699804299999999	0.43638155	-1.1503388	0.8158725	-0.6662578	1.0	-1.1648408000000001	0.53370064
MEDIASTINAL_LYMPHADENOPATHY	HP	25	4.782910299999999	0.44140917	-1.1112356	0.8790966999999998	-0.46925604	1.0	-0.87880784	0.922932
MULTIPLE_RENAL_CYSTS	HP	49	4.7997227	0.44186524	-1.0305687	1.0	-0.9846358000000001	0.8297163000000001	-1.4111555	0.20695515
PROTEIN_PHOSPHATASE_2A_BINDING	GOMF	27	4.8856106	0.44534808	-0.7833182	1.0	-1.0102528	0.8053427	-0.6631382	1.0
COMPLEMENT_ACTIVATION	GOBP	42	4.868963	0.44770524	-0.5816723000000001	1.0	0.5692964	1.0	1.8093603999999999	0.9909868000000001
ABNORMAL_CIRCULATING_FOLLICLE_STIMULATING_HORMONE_CONCENTRATION	HP	46	4.8160653	0.44914030000000005	-0.9640095999999999	1.0	-0.8105896	0.9626186999999999	-0.6020618000000001	1.0
DOPAMINE_METABOLIC_PROCESS	GOBP	39	4.8031273	0.45094433	-0.8002338000000001	1.0	-0.7960164000000001	0.9712586	-1.4698589	0.15938110000000003
OVERFRIENDLINESS	HP	27	4.7882557	0.45319235	-0.9258325000000001	1.0	-0.8942125	0.9114853	-1.5197495	0.12486604
BLADDER_DIVERTICULUM	HP	36	4.8221674000000005	0.47012433	-0.86857533	1.0	-0.8492021000000001	0.9431457000000001	-1.367802	0.24477106
