TF	NOI_DMSO_vs_Palbo_DMSO_Corrected E-Score	NOI_DMSO_vs_Palbo_DMSO_Events	NOI_DMSO_vs_Palbo_DMSO_Corrected P-adj	NOI_DMSO_vs_Palbo_DMSO_sig	NOI_DMSO_vs_SY5609_DMSO_Corrected E-Score	NOI_DMSO_vs_SY5609_DMSO_Events	NOI_DMSO_vs_SY5609_DMSO_Corrected P-adj	NOI_DMSO_vs_SY5609_DMSO_sig	NOI_DMSO_vs_NOI_IFN_Corrected E-Score	NOI_DMSO_vs_NOI_IFN_Events	NOI_DMSO_vs_NOI_IFN_Corrected P-adj	NOI_DMSO_vs_NOI_IFN_sig	SY5609_DMSO_vs_SY5609_IFN_Corrected E-Score	SY5609_DMSO_vs_SY5609_IFN_Events	SY5609_DMSO_vs_SY5609_IFN_Corrected P-adj	SY5609_DMSO_vs_SY5609_IFN_sig
ZN770_HUMAN.H11MO.0.C	-0.15998886506599103	45939	0.0	True	0.11044557665891858	45939	1e-289	True	-0.14871462169049793	45939	0.0	True	0.03202043597381228	45939	1e-27	True
PAX5_HUMAN.H11MO.0.A	-0.16976593423560765	31203	0.0	True	0.11454561836064348	31203	1e-161	True	-0.14788888787962373	31203	1e-243	True	0.03925618922858099	31203	1e-16	True
ZN121_HUMAN.H11MO.0.C	-0.14446743257481304	37725	1e-321	True	0.090745897979219	37725	1e-130	True	-0.1148104772389324	37725	1e-204	True	0.03879173747362272	37725	1e-25	True
THA_HUMAN.H11MO.0.C	-0.13748249204961277	16675	1e-95	True	0.06427883485369418	16675	1e-19	True	-0.08751799079138761	16675	1e-35	True	0.04245615125016387	16675	1e-08	True
SMAD3_HUMAN.H11MO.0.B	-0.1671011566762084	7302	1e-49	True	0.07521536184843303	7302	1e-09	True	-0.12882388686092738	7302	1e-30	True	0.03710590459137846	7302	0.1	False
RARA_HUMAN.H11MO.0.A	-0.14127284005772744	10011	1e-48	True	0.08784967719001646	10011	1e-18	True	-0.10330688652048764	10011	1e-26	True	0.033600308112962204	10011	0.1	False
SP4_HUMAN.H11MO.0.A	0.11162489989718116	15062	1e-43	True	-0.09244464669318886	15062	1e-30	True	0.12712414254233811	15062	1e-58	True	0.00113742538340267	15062	1.0	False
THB_HUMAN.H11MO.0.C	-0.14797609653713534	6556	1e-33	True	0.07969175167246612	6556	1e-09	True	-0.10466330994191386	6556	1e-16	True	0.03487860282039548	6556	0.1	False
ZN143_HUMAN.H11MO.0.A	0.21767630717775271	3108	1e-31	True	-0.042353668126513644	3108	0.409	False	0.16007609829740566	3108	1e-16	True	0.06125079726968366	3108	0.1	False
THA11_HUMAN.H11MO.0.B	0.23146217741458325	2869	1e-31	True	-0.041549825534730134	2869	0.676	False	0.1692417305684255	2869	1e-16	True	0.05315799764803973	2869	1.0	False
KLF3_HUMAN.H11MO.0.B	0.08239860722067632	16034	1e-28	True	-0.0692009512588635	16034	1e-17	True	0.09481949798198724	16034	1e-33	True	-0.003851091431483218	16034	1.0	False
NRF1_HUMAN.H11MO.0.A	0.21880026776521588	2650	1e-27	True	-0.02873393537130864	2650	1.0	False	0.2016994830883962	2650	1e-21	True	-0.0017479292805512962	2650	1.0	False
SP3_HUMAN.H11MO.0.B	0.07062633682894237	20844	1e-26	True	-0.03243335937713354	20844	0.0001	True	0.06932202549443084	20844	1e-26	True	-0.008742858429669747	20844	1.0	False
ZNF76_HUMAN.H11MO.0.C	0.17711337441945962	3492	1e-24	True	-0.017216743271105728	3492	1.0	False	0.11136214984321291	3492	1e-08	True	0.04813186068465337	3492	1.0	False
CTCF_HUMAN.H11MO.0.A	0.14814294256504673	4690	1e-21	True	-0.016636120013219846	4690	1.0	False	-0.09822224551132258	4690	1e-09	True	-0.11276005193621244	4690	1e-11	True
SP2_HUMAN.H11MO.0.A	0.06219108731550671	21311	1e-21	True	-0.028428736511120767	21311	0.001	True	0.07046467744661306	21311	1e-28	True	-0.009512951906159292	21311	1.0	False
KLF6_HUMAN.H11MO.0.A	0.06565246191902352	17887	1e-19	True	-0.05487314319632308	17887	1e-13	True	0.0753843046449249	17887	1e-26	True	-0.007833691028607748	17887	1.0	False
KLF12_HUMAN.H11MO.0.C	0.09652414749846855	8533	1e-17	True	-0.06709181196404923	8533	1e-07	True	0.0765266251417977	8533	1e-11	True	0.006819934205689366	8533	1.0	False
CTCFL_HUMAN.H11MO.0.A	0.13046267450402083	4212	1e-16	True	-0.04053795077854383	4212	1.0	False	-0.04325515643056571	4212	0.1	False	-0.08409086579322117	4212	1e-05	True
