tf	small_hits_exp	large_hits_exp	md_score_exp	small_hits_sim	large_hits_sim	md_score_sim	elliptic_outlier	pval	significance
ELK4_HUMAN.H11MO.0.A	2442	6317	0.3865759062846288	3013	21580	0.13962001853568118	-1	8.098067800294234e-73	Enriched
NRF1_HUMAN.H11MO.0.A	7002	15626	0.4480993216434148	2080	11309	0.18392430807321605	-1	1.0341279521105406e-71	Enriched
ELK1_HUMAN.H11MO.0.B	2380	7292	0.3263850795392211	3077	24607	0.1250457186979315	-1	1.1714389943600618e-51	Enriched
E2F5_HUMAN.H11MO.0.B	313	884	0.3540723981900453	1900	13123	0.14478396708069802	-1	2.222068626341582e-51	Enriched
KLF12_HUMAN.H11MO.0.C	22413	60718	0.3691327118811555	5330	33206	0.16051316027223994	-1	8.47127699447181e-48	Enriched
KAISO_HUMAN.H11MO.0.A	1267	3375	0.3754074074074074	1580	9219	0.1713851827747044	-1	1.5933231411145505e-43	Enriched
ETV1_HUMAN.H11MO.0.A	2686	8391	0.32010487427005124	3612	24456	0.14769381746810598	-1	1.8036737541624872e-34	Enriched
E2F2_HUMAN.H11MO.0.B	523	1555	0.3363344051446945	1849	11415	0.16197985107314936	-1	8.1808193228981e-33	Enriched
KLF9_HUMAN.H11MO.0.C	18979	58611	0.3238129361382676	5454	35286	0.1545655500765176	-1	4.443465764772496e-32	Enriched
E2F4_HUMAN.H11MO.0.A	11401	35665	0.31966914341791675	4398	28298	0.15541734398190685	-1	4.640456414197765e-30	Enriched
CREB1_HUMAN.H11MO.0.A	909	3646	0.24931431705979154	1369	12540	0.10917065390749603	-1	1.5233622455694489e-28	Enriched
GABPA_HUMAN.H11MO.0.A	3545	12155	0.2916495269436446	3459	24816	0.13938588007736946	-1	3.2505139756369375e-28	Enriched
CTCFL_HUMAN.H11MO.0.A	9157	29599	0.3093685597486401	5915	37324	0.15847711927981994	-1	6.914618892422168e-25	Enriched
NFYC_HUMAN.H11MO.0.A	3321	14297	0.2322864936700007	5717	54597	0.10471271315273734	-1	7.583450171058882e-25	Enriched
NFYB_HUMAN.H11MO.0.A	3429	14717	0.23299585513351906	5766	54264	0.10625829279080053	-1	2.3985128941136435e-24	Enriched
ATF1_HUMAN.H11MO.0.B	1155	4743	0.24351676154332705	1351	11419	0.11831158595323585	-1	3.5776512046367587e-22	Enriched
E2F1_HUMAN.H11MO.0.A	6752	23712	0.28475033738191635	4338	28993	0.14962232262960026	-1	4.647879064117469e-21	Enriched
TFEB_HUMAN.H11MO.0.C	1219	4963	0.2456175700181342	1176	9583	0.12271731190650108	-1	7.183369655662194e-21	Enriched
NFYA_HUMAN.H11MO.0.A	3209	14893	0.21547035520042973	5774	56144	0.10284269022513537	-1	2.3445149266639457e-20	Enriched
KLF1_HUMAN.H11MO.0.A	29392	104445	0.2814112690889942	6274	42109	0.14899427675793772	-1	2.5541826427114806e-20	Enriched
KLF4_HUMAN.H11MO.0.A	8506	32958	0.2580860489107349	5594	42033	0.13308590869079054	-1	3.740537224241051e-20	Enriched
MBD2_HUMAN.H11MO.0.B	3997	10875	0.3675402298850575	3207	15270	0.2100196463654224	-1	5.943346868048145e-20	Enriched
TFDP1_HUMAN.H11MO.0.C	7000	26338	0.2657756853215886	4707	33774	0.13936756084562088	-1	9.12765160438997e-20	Enriched
CTCF_HUMAN.H11MO.0.A	7568	27469	0.27551057555790165	5998	40836	0.14688020374179644	-1	1.8227741166417565e-19	Enriched
TYY1_HUMAN.H11MO.0.A	3137	14313	0.2191713826591211	4639	42750	0.10851461988304094	-1	4.732069257929725e-19	Enriched
ELF2_HUMAN.H11MO.0.C	3367	13552	0.2484504132231405	4044	31149	0.1298276028122893	-1	1.071589096634285e-18	Enriched
E2F7_HUMAN.H11MO.0.B	10350	40083	0.25821420552353863	5046	36564	0.13800459468329504	-1	3.828140377724751e-18	Enriched
THAP1_HUMAN.H11MO.0.C	19434	57787	0.3363040130133075	5737	29679	0.19330166110718014	-1	7.636650709036237e-18	Enriched
USF2_HUMAN.H11MO.0.A	2758	10482	0.2631177256248807	1957	13548	0.14444936521995866	-1	6.049526664814274e-17	Enriched
CREM_HUMAN.H11MO.0.C	1393	6490	0.21463790446841294	1984	17408	0.11397058823529413	-1	1.1855612725563009e-15	Enriched
KLF3_HUMAN.H11MO.0.B	46577	158377	0.2940894195495558	6531	38254	0.17072724420975585	-1	3.4489163452764432e-15	Enriched
