gene	log2FoldChange_hct116_30minProt	pval_hct116_30minProt	log2FoldChange_hct116_120minProt	pval_hct116_120minProt
HSPA1L	0.627513077	7.809999999999999e-07	0.03842722	0.773379163
SRSF11	0.552700806	1.15e-05	0.13921699699999998	0.43742280899999997
PEX12	-0.40123517200000003	0.00013535200000000001	-0.185185299	0.016126666
PHIP	0.375092684	0.000149452	0.378416927	0.11866690199999999
PEX2	-0.34327307100000004	0.000157393	-0.19849092100000001	0.025611601
PEX14	-0.337962944	0.0001851	-0.1442861	0.07991635700000001
HMGA2	0.32320648399999996	0.00019617	0.25347197899999996	0.057144132
HIST2H2AB	0.383157856	0.000228591	0.5714686170000001	0.10200223800000001
SUMF2	0.39530117299999995	0.000259004	0.743328054	0.029403142
TUBB2B	0.512729199	0.00026503299999999997	0.274134428	0.020254387
SSRP1	0.398463565	0.000292289	0.482098775	0.061944674000000005
LYN	0.951465905	0.00041060699999999995	0.37980695299999995	0.030169769
BRWD1	0.27235491100000003	0.000420295	0.34714555399999997	0.0699654
SUPT16H	0.432776272	0.00044982199999999995	0.467050088	0.093449499
ZDHHC13	-0.27412562	0.000471681	-0.118955279	0.0306938
PGAM2	0.411837434	0.000505871	-0.039892452	0.744980998
INTS1	-0.22845501899999998	0.000514046	-0.31253626100000004	5.15e-05
SPCS1	-0.26568296199999997	0.0005383769999999999	-0.11803888300000001	0.028092097000000003
HIST3H2BB	0.37594217	0.000595267	0.567035484	0.09348648400000001
INTS2	-0.245786303	0.000598338	-0.312546967	0.00011616
RIBC2	0.432159158	0.000624876	0.092040334	0.382191446
INTS4	-0.260853555	0.000635092	-0.37468187299999994	4.9e-05
HIST2H3A	0.34830021299999997	0.000645871	0.58983771	0.031904971000000004
TMEM205	-0.320965842	0.000709558	-0.082910956	0.170139609
RPN2	-0.26883668899999996	0.000712755	-0.032411854	0.5020040920000001
MECP2	0.390132989	0.000763388	0.636890018	0.06526944700000001
JTB	-0.282067912	0.000786374	-0.034338789	0.565926838
SLC30A6	-0.232525498	0.0008407239999999999	-0.103243763	0.08391223
STT3A	-0.24531561100000002	0.000858212	-0.035691864	0.48305458700000004
DERL2	-0.28375184600000003	0.000877702	0.015845489	0.740790414
INTS6	-0.253635395	0.00096835	-0.359866299	0.000215529
CBX3	-0.238556369	0.000968494	0.101214267	0.27286405199999997
INIP	-0.286013809	0.00100093	-0.39355801	5.6399999999999995e-05
SIKE1	-0.388256356	0.001002976	-0.082334647	0.247629409
SEC62	-0.270021971	0.001005852	-0.135815248	0.030036682000000002
SYS1	-0.24977135399999997	0.001025192	-0.10128230099999999	0.07145779
DMD	0.533823825	0.001159692	0.6915908709999999	0.070308546
XPC	0.27101127199999997	0.001234338	0.46035263600000004	0.086292466
KIAA2013	-0.24120808300000002	0.001237178	-0.106181086	0.091148958
TCF7	0.524362079	0.001245793	0.401966161	0.00064975
CHD1	0.387828657	0.001265726	0.327867107	0.088113765
OSBPL3	-0.253575123	0.001278387	-0.071485422	0.127501016
AGPAT3	-0.240206079	0.00128944	-0.111487789	0.114869178
HIST2H2BE;HIST1H2BJ;HIST1H2BB;HIST1H2BO;HIST2H2BD;HIST2H2BC	0.401660287	0.001296071	0.684874966	0.064669326
NEK11	0.273317394	0.001575119	0.452709721	0.128420245
WDR74	0.27159554	0.001584695	0.15383855800000001	0.06443432
PEX13	-0.22293293	0.001603781	-0.068927816	0.266759293
ENDOD1	-0.218405398	0.001620371	-0.099658455	0.058209098
RPN1	-0.25189752	0.00164202	-0.00882852	0.8545417740000001
INTS12	-0.231137992	0.001654439	-0.300109991	0.000222859
MAGT1	-0.224016628	0.001708504	-0.034661847	0.5130932020000001
CKAP4	-0.223696098	0.001729165	-0.11905574599999999	0.033866328
CTR9	-0.20684856199999999	0.0017735379999999999	-0.28814520000000005	3.66e-05
SLC35B2	-0.231181009	0.0017744529999999998	-0.08044141	0.125494098
EMC3	-0.256398632	0.0017970479999999999	-0.08278915099999999	0.185648333
SUPT6H	-0.2355987	0.001804553	-0.36997478100000003	6.709999999999999e-05
KTN1	-0.24140909	0.0018161310000000001	-0.13671839800000002	0.024721632
NOVA2;NOVA1	0.41821626799999995	0.001840861	0.658572177	0.063625245
TECR	-0.256847608	0.0018715910000000001	-0.10183179	0.03383673
TFAP2A;TFAP2E;TFAP2B	0.23004978199999998	0.00190638	0.298176946	0.046855778
PTDSS2	-0.242233127	0.001980672	-0.110544001	0.041396004
CLCN2	-0.24103117	0.0019918270000000003	-0.10446414300000001	0.099984355
RSF1	0.57217104	0.002018223	0.832156204	0.079056513
MLEC	-0.236918885	0.00205319	-0.058902870999999996	0.27820134
ENTPD6	-0.25325583	0.002086753	-0.038967963	0.47295782
ATP13A1	-0.212053766	0.00215619	-0.076591858	0.10882454300000001
VAPA	-0.22981901600000001	0.002213509	-0.048713312	0.348246286
HMGN4	0.276664668	0.002360179	0.500540656	0.04145626
DAD1	-0.218244192	0.00241305	-0.078126547	0.13702166699999999
SEC11A	-0.251678571	0.002508312	-0.039685819	0.457040981
HM13	-0.22926454699999999	0.002515394	-0.030719387999999997	0.6002516929999999
KCNK1	-0.24717914300000002	0.002661404	0.009388377	0.9081823609999999
HIST1H2BC;HIST1H2BK;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BD;H2BFS	0.31079399399999996	0.002670107	0.601454336	0.066884312
MAN2A2	-0.19369102300000002	0.00274563	-0.076645737	0.179290084
HMGA1	0.35337188799999997	0.002769158	0.62232895	0.062203945999999996
STT3B	-0.204238893	0.002780875	-0.014532728	0.765135192
INTS7	-0.23043807800000002	0.00284111	-0.338423504	0.000382375
PEX10	-0.208040642	0.003027223	-0.089395128	0.120716475
HMGN1	0.22490348100000002	0.0030296190000000003	0.492992031	0.045446912
SCD	-0.285954836	0.003048742	-0.008009549	0.87472979
ZBTB43	0.245614008	0.003054113	-0.016990511	0.791548496
HIST1H2BL;HIST1H2BA	0.293566602	0.003075105	0.532854732	0.07670173400000001
ZNF710	-0.359349396	0.0033789709999999997	-0.16911742800000001	0.070994745
ZMPSTE24	-0.200267096	0.0033946429999999997	-0.03456942	0.520509521
EIF2AK3	-0.199741532	0.0034165740000000003	-0.037288108	0.438400116
TOP2A	0.33794248299999996	0.0034226	0.29603737199999997	0.124819445
GPR180	-0.246551131	0.00345408	-0.13625021699999998	0.069470545
INTS8	-0.19178416899999998	0.003634652	-0.303449509	0.000157987
BCS1L	-0.19284004100000002	0.003896755	-0.004075678	0.9504064309999999
HSPE1	-0.23653496300000001	0.003952357	-0.005054024	0.942421946
TSPAN9	-0.17218640100000002	0.0039883440000000004	0.027055607000000002	0.634517787
PROCR	0.182949967	0.004011578	0.064443348	0.47811285
ARL6IP4	0.17532857	0.004031435999999999	0.080266184	0.17362222600000002
MGAT2	-0.194384804	0.004043271	-0.058787180999999994	0.255331795
ACVR2A	-0.28499904600000003	0.00406627	-0.04585391900000001	0.492854611
GLRX2	0.266055665	0.004085034	0.38272691799999997	0.000825291
NOL3	0.231371507	0.004128464	0.166787913	0.045723697
	0.35227515299999995	0.004158187	-0.24875668899999998	0.009899131
SLC38A10	-0.189302655	0.0041628279999999995	-0.043952223	0.393884388
BCAP31	-0.236521108	0.004219729	-0.016539898	0.800376988
WDR43	0.24552516	0.004250942	0.2112868	0.059912972
DHCR24	-0.182881341	0.004281804	-0.036067009	0.42377343799999995
AIG1	-0.264737761	0.004306854000000001	-0.130309528	0.048087513
H2AFY	0.84963447	0.004351898	1.144935323	0.061499055999999996
PLD2	0.219455619	0.004361719	0.052933322000000005	0.39213699
CDC73	-0.216248277	0.004454367	-0.35887617200000005	1.4499999999999998e-05
EPPK1	0.217094025	0.00446116	0.117578136	0.149383279
PAF1	-0.209026598	0.0045987879999999995	-0.35962681799999996	2.02e-05
HSPA9	-0.19224795	0.004685472	-0.025947009	0.646274803
TMED5	-0.20588883300000002	0.004719241	-0.012495998000000001	0.810178882
LEO1	-0.232190565	0.004723606	-0.375916268	5.739999999999999e-05
H2AFX	0.29934846800000003	0.004788198	0.802394759	0.013126585
HIST1H3A;HIST3H3	0.785208433	0.004834355	1.188279017	0.053826020999999995
TMED4	-0.24000402699999998	0.004858531	-0.043469249	0.40759452
UTP6	0.234067787	0.0049192540000000005	0.145047021	0.20738590399999998
GPAT2	-0.19552445	0.004944075	-0.036868258	0.435603746
OSMR	-0.16617717	0.005002955999999999	-0.026957644	0.561345505
PIGK	-0.201052413	0.005031273	0.03459301	0.560226618
HIST2H3PS2	1.147559284	0.005140156	1.300088761	0.068864294
NABP1	-0.275532106	0.0051992259999999995	-0.27960991	0.012673428
GORASP2	-0.23223715399999997	0.005452804	0.008269125	0.8807824609999999
PDHX	-0.24181156399999998	0.0054626959999999995	0.012730864	0.843544592
SLC30A5	-0.316344028	0.005718058000000001	-0.0721421	0.28322712
TMCO3	-0.185199635	0.005777664	-0.045905817	0.31372618399999996
TMED9	-0.201216235	0.00580676	-0.0438697	0.44151261
SCD5	-0.170047563	0.005811131999999999	0.026058208	0.653460347
TMEM173	-0.19059396399999998	0.005835562	-0.091107417	0.16187860099999998
GOLIM4	-0.185386544	0.005902373000000001	-0.062084058	0.30336707
GLCE	-0.180598244	0.0059756240000000006	-0.015734223999999998	0.732994392
UGCG	-0.21557389899999999	0.006020064	-0.083761494	0.215734149
PPM1L	-0.20610714800000002	0.006080126999999999	-0.058488989000000005	0.32370644
PGAP2	-0.17732873300000002	0.00619126	-0.12592806199999998	0.034190618
C1GALT1	-0.209894065	0.006196846	-0.088669354	0.200983138
HLA-B	-0.23331922100000002	0.006258369000000001	0.057045037	0.313717901
BCAP29	-0.22002370300000001	0.0062925559999999995	0.015952578999999998	0.785783873
LUC7L3	0.174877215	0.006333715	-0.028378502000000003	0.798300098
SPCS3	-0.18109314699999998	0.006368502	0.001208103	0.985745732
TMCO1	-0.221776435	0.006435526	-0.130323297	0.029959617999999997
UTP15	0.227600682	0.006442147	0.206483859	0.081060251
SLC27A3	-0.272295334	0.006485431	-0.059067550999999996	0.339027514
RPS12	0.164184973	0.006491805	0.098852829	0.09476064699999999
H2AFY2	0.510115781	0.006517113000000001	0.836276405	0.087293421
NOL11	0.21734851300000002	0.006559334	0.178463221	0.064302623
C1GALT1C1	-0.19819907399999998	0.006583871	-0.07828897	0.174715017
SPATA13	0.291725525	0.006596959	0.082347911	0.26480259
GOLGA6L2	0.6412819270000001	0.006642515999999999	0.612897916	0.154625552
DMTF1	0.212565349	0.006658586	0.052535566	0.374751567
PSPC1	0.208570888	0.006691112	0.132005869	0.044442097
C12orf75;OCC1	0.27156804100000004	0.006700591999999999	0.013491996000000001	0.935499132
C1orf109	0.181743722	0.006714039000000001	0.010771835	0.873842825
TMX2	-0.197667471	0.0069261309999999994	-0.11038596199999999	0.093813536
ARHGAP28	0.18964024899999998	0.007006578	0.051848539000000006	0.738560942
RHBDD2	-0.215996099	0.007027993000000001	-0.12577023	0.13163012699999999
NLRX1	-0.17541356800000002	0.007188032	-0.103397461	0.125067837
WDR12	0.214226518	0.007214158000000001	0.104079196	0.292628588
INTS9	-0.154131207	0.00721881	-0.236038902	0.000321826
INTS10	-0.16942177100000003	0.007350443000000001	-0.277293171	0.0007236110000000001
ERGIC1	-0.188525783	0.007445355	-0.008530973	0.850728495
STBD1	-0.23263773899999998	0.0074602240000000005	-0.05357290000000001	0.39229946299999996
