NAME	dbtype	SIZE	NES_DMSO_0_vs_DMSO_20	FDR_q-val_DMSO_0_vs_DMSO_20	NES_DMSO_0_vs_DMSO_45	FDR_q-val_DMSO_0_vs_DMSO_45	NES_DMSO_0_vs_SY_0	FDR_q-val_DMSO_0_vs_SY_0	NES_DMSO_20_vs_DMSO_45	FDR_q-val_DMSO_20_vs_DMSO_45	NES_DMSO_20_vs_SY_20	FDR_q-val_DMSO_20_vs_SY_20	NES_DMSO_45_vs_SY_45	FDR_q-val_DMSO_45_vs_SY_45	NES_SY_0_vs_SY_45	FDR_q-val_SY_0_vs_SY_45	NES_SY_0_vs_SY_20	FDR_q-val_SY_0_vs_SY_20	NES_SY_20_vs_SY_45	FDR_q-val_SY_20_vs_SY_45
CYTOPLASMIC_TRANSLATION	GOBP	145	-2.332411	0.0	-1.7432292	0.0075266403	-1.7431596999999999	0.061800882	-0.95067114	0.97251815	-0.585009	0.9875881999999999	-0.55000913	0.9941424000000001	-1.4966476	0.36400786	-1.5208184	0.3683327	-0.9836343000000001	0.98678046
RIBOSOME_BIOGENESIS	GOBP	298	-2.1357574	0.0	-1.6014277	0.17645343	-1.393338	0.47177820000000004	-0.99126965	0.94474214	-0.9675746999999999	0.7116031999999999	-0.6941841	0.96321607	-1.5687865	0.3019436	-1.7681352	0.26522633	-0.98540854	0.98589087
RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP	72	-2.0720236	0.0	-1.6000116000000002	0.1629537	-1.4940343999999999	0.33871147	-1.0694776000000001	0.87306416	-0.90096694	0.8084944000000001	-0.7482661	0.94166595	-1.4652637	0.34985029999999995	-1.6017892	0.29276046	-0.96097225	0.99151784
CHAPERONE_MEDIATED_PROTEIN_FOLDING	GOBP	68	2.0168467	0.0	2.3590376	0.0	-1.2018775	0.70674974	-0.8047522	1.0	-1.0863668	0.49450043	-1.0704163	0.5645365	2.4835422	0.0	2.0782317999999997	0.0	-0.6577834	1.0
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	GOBP	153	2.0195532	0.0	2.0532148	0.015836349	-1.0086055	0.8705224	-0.7897489999999999	1.0	-1.1625993000000001	0.39201853	-1.0315238000000002	0.6331418000000001	2.208993	0.00022865313999999998	2.0282936	0.0	-0.8269424999999999	1.0
UNFOLDED_PROTEIN_BINDING	GOMF	105	2.0403838	0.0	2.113356	0.0067931092	-1.29316	0.6211838000000001	-0.85869205	1.0	-1.1933969	0.36158657	-1.1484075	0.4416254	2.393634	0.0	2.0469518	0.0	-0.63102776	1.0
HEAT_SHOCK_PROTEIN_BINDING	GOMF	120	2.0574431	0.0	2.1194997	0.007198104	-1.1754025	0.74089336	-0.85688275	1.0	-1.069906	0.52543545	-1.0154824	0.66302824	2.2004572999999996	0.00020786648	2.0751736000000003	0.0	-0.8277075999999999	1.0
PROTEIN_FOLDING	GOBP	186	2.105528	0.0	2.0488815	0.015925987	-1.1985422	0.7068239000000001	-0.938815	0.97769666	-1.1629739	0.39159194	-1.1802404	0.40371728	2.2383304	0.0	2.0698435	0.0	-0.7474124	1.0
CHAPERONE_BINDING	GOMF	101	1.9588922999999998	0.000110550245	1.9573433	0.046165332	-1.1763847	0.7395404999999999	-0.75453293	1.0	-1.1956455	0.36173130000000003	-1.2295392	0.35416713	2.078872	0.0060897376	1.8995025	0.0012995133999999999	-0.59552014	1.0
DE_NOVO_PROTEIN_FOLDING	GOBP	42	1.9601874	0.00012436903	2.2129426	0.00067844137	-1.1021938	0.79583275	-0.54404646	1.0	-0.65991735	0.9713458	-0.8601636	0.86803406	2.2950394	0.0	1.9888084	0.0	-0.6042348000000001	1.0
CELLULAR_RESPONSE_TO_HEAT	GOBP	62	1.9694276000000002	0.00014213601999999998	2.1416705	0.0060421736	-0.96541876	0.90786	-0.8145425000000001	1.0	-0.8186536999999999	0.89610696	-1.039509	0.6186443	2.1529057000000003	0.0014326602	1.9848762999999998	0.0	-0.7868328	1.0
RESPONSE_TO_HEAT	GOBP	96	1.9763560000000002	0.00016582538	2.0108516	0.021350794	-1.0460641	0.8434505999999999	-0.8096171999999999	1.0	-0.995193	0.6617399	-1.1120596999999999	0.49376902	2.2115846	0.00012599435	1.9850316000000003	0.0	-0.7155604999999999	1.0
REGULATION_OF_MICROTUBULE_POLYMERIZATION	GOBP	55	1.9160521000000001	0.00024753650000000003	1.3594337	0.5380102	-1.0274628000000001	0.8563396999999999	-1.0583841	0.88726074	-1.2729157	0.31762487	-1.2923158000000001	0.30757779999999996	1.4176414	0.57256216	1.6833093999999997	0.182543	-0.90530473	0.99805415
PROTEIN_FOLDING_CHAPERONE	GOMF	39	1.9202123	0.00027003979999999997	2.371213	0.0	-1.1427363000000001	0.7650483	-0.7208343	1.0	-1.0253444999999999	0.60558325	-0.6532802	0.9770525	2.4754415	0.0	2.0081954	0.0	-0.44866657	0.9994049
RESPONSE_TO_TEMPERATURE_STIMULUS	GOBP	156	1.9332155	0.00029704376	1.9572698	0.044141274	-1.0124674999999999	0.865024	-0.7309945	1.0	-1.0390972	0.5804166999999999	-1.1516356	0.43851933	2.038498	0.01346755	1.9737511000000003	0.0	-0.79881495	1.0
ABNORMAL_MEAN_CORPUSCULAR_VOLUME	HP	47	-2.0405447	0.0005288411	-1.544354	0.18525374	-1.6977701	0.087789565	-0.87144977	1.0	-0.7849563	0.9168893	-0.8753478000000001	0.8560940999999999	-1.3296633	0.41980340000000005	-1.3226486000000002	0.51483124	-0.8641607	1.0
CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	GOBP	95	1.8948938999999998	0.0009818913	1.7309078	0.24638928	-0.8774959000000001	0.9618979999999999	-1.0239756	0.91388977	-1.2100666000000002	0.34842249999999997	-0.9949425999999999	0.6970976	1.7925828999999998	0.19181168	1.8283441999999999	0.01342633	-0.89989173	0.9978995
CYTOSOLIC_RIBOSOME	GOCC	95	-2.0003073000000002	0.0010486096	-1.5602508999999998	0.18026781	-1.9063918999999998	0.007162419000000001	-0.8509587	1.0	0.5257963999999999	0.993504	0.7507646	1.0	-1.1357976	0.6171435000000001	0.70492214	0.98392415	-0.97357684	0.9911129000000001
NCRNA_PROCESSING	GOBP	378	-2.0084150000000003	0.0010524517999999999	-1.5969701	0.16010922	-1.3473382	0.5230637	-1.0859311000000003	0.85624176	-1.0245069	0.6076216999999999	-0.84321123	0.88291895	-1.6421839	0.2561459	-1.8003435	0.23941025	-1.0696567	0.9441992
MISFOLDED_PROTEIN_BINDING	GOMF	29	1.8824306	0.0014710035	2.2311993	0.00042451208	-1.3649496	0.50407207	-0.59798986	1.0	-1.1955354	0.3615546	-0.97694033	0.7264373000000001	2.2707037999999997	0.0	1.9563341	0.0	-0.6627122	1.0
CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING	GOBP	33	1.8780297	0.0017010454000000001	2.3054898	0.0	-1.1076479	0.7883871	0.9898752	1.0	-0.76478815	0.92941386	-0.8267866	0.89575744	2.2995335999999997	0.0	1.9109706000000002	0.0008144072	-0.44481015	0.99919045
FICOLIN_1_RICH_GRANULE_LUMEN	GOCC	117	1.8686884999999998	0.0027568869	1.5785769	0.40371546	-1.0805044	0.8150288	-1.0328126	0.9058939	-1.426964	0.27335298	-1.4749713	0.28950432	1.5455112	0.45913640000000006	1.841172	0.0092048375	-0.96405256	0.99219215
TAU_PROTEIN_BINDING	GOMF	42	1.8618578999999997	0.0033437259999999996	1.8764541	0.09800590599999999	-1.0538101999999998	0.83783644	-1.1559315000000001	0.8217136	-1.1334962	0.42571625	-1.1747149	0.40925708	1.9877286	0.029809386	1.8931593999999998	0.0015242278	-0.90334696	0.99622774
TRNA_BINDING	GOMF	72	-1.9297861	0.0037142534000000004	-1.5691848999999998	0.16762458	-1.4757874	0.34914193	-1.1949111000000001	0.8049918	-1.3008383999999997	0.29853743	-1.1165646	0.4882496	-1.6869349999999999	0.6733231	-2.0110993	0.025016728999999998	-0.9931950999999999	0.9823844
MATURATION_OF_SSU_RRNA	GOBP	49	-1.9533220000000002	0.0037438283000000004	-1.4463916	0.26289323	-1.4324914	0.42482162	-0.9466916	0.97315544	-1.0264671	0.6034136999999999	-0.84355444	0.8828630999999999	-1.4282024	0.3551435	-1.623758	0.29140309999999997	-0.87184495	1.0
PERSISTENCE_OF_HEMOGLOBIN_F	HP	28	-1.9316723000000002	0.0037726215	-1.4854863	0.22835541	-1.7405560000000002	0.061887915999999994	-0.8364007999999999	1.0	-0.5339767	0.9942138	-0.5910823000000001	0.9893816999999999	-1.1837374	0.55997634	-0.9329482	0.79925054	-0.8111664000000001	1.0
INCREASED_MEAN_CORPUSCULAR_VOLUME	HP	37	-1.94355	0.0040623588	-1.502802	0.21200219	-1.7153296000000002	0.07630257	-0.85684866	1.0	-0.6387876	0.9770274999999999	-0.8774724	0.8539113000000002	-1.2725492	0.46138679999999993	-1.1740811000000002	0.61624604	-0.7939722	1.0
4_IRON_4_SULFUR_CLUSTER_BINDING	GOMF	39	-1.9341226999999999	0.004075252	-1.5352095	0.19396648	-1.1746522	0.73876786	-1.1667167	0.8137569	-1.1732506	0.38144633	-0.84736776	0.8791968000000001	-1.4836091	0.35103962	-1.5943631999999999	0.30167586	-1.1765784	0.9409538000000001
CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	GOBP	114	1.8521338999999999	0.0045228703000000006	1.6197593	0.34486988	-0.88558185	0.95671666	-0.92600405	0.98715776	-1.1752299	0.38024798	-0.96649593	0.7412079	1.7511778000000002	0.23567048	1.7808983	0.04218542	-0.83837116	1.0
STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF	156	-1.9175369	0.0051504388	-1.5471758	0.18437293	-1.6953813999999998	0.08667018	-1.0079596	0.9241314	-0.68051875	0.9663235000000001	0.0	1.0	-1.1999226	0.54303175	-0.9798511999999999	0.76094854	-0.98081386	0.9874126
REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS	GOBP	52	1.8417301	0.0057320133999999995	1.682449	0.28783426	-1.0324236999999998	0.8521325000000001	-0.81974894	1.0	-1.3148497	0.2936189	-1.3471476999999998	0.30069438	1.7090415	0.3114033	1.8266788	0.013690026000000001	-0.7089354999999999	1.0
PEPTIDYL_LYSINE_METHYLATION	GOBP	138	-1.9033142	0.0059875837	-1.5693622999999999	0.1714599	-1.3480456	0.52505577	-1.3237813	0.8297369000000001	-1.0836818000000001	0.49867493	-1.0559969999999999	0.5892706999999999	-1.5939072	0.2777412	-1.5256553999999998	0.36462757	-1.1399243000000001	0.9230283000000001
MYELODYSPLASIA	HP	99	-1.9058403999999998	0.0062077837	-1.5509411	0.19605486	-1.5660038	0.25238920000000004	-1.2046665	0.80431145	-1.0875891000000002	0.49269304	-1.0191274	0.6567055	-1.4288166000000002	0.3550736	-1.193975	0.6066119000000001	-1.1332446000000003	0.92002803
MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GOBP	36	-1.8963366999999998	0.0065659042	-1.4305761000000001	0.28262025	-1.4081285	0.45551163	-0.9349214	0.98160213	-1.2113962	0.34765092	-0.9285631999999999	0.7968033	-1.3917473999999999	0.3704249	-1.6411514999999999	0.29246074	-0.8293948	1.0
POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION	GOBP	88	1.8339081000000002	0.0072583356000000005	1.1132287	0.66980726	-0.80714434	0.99223894	-1.1744318999999999	0.81431556	-1.1831171999999999	0.37332293	-1.2293882	0.35420820000000003	1.0162255999999998	0.75184005	1.5856101999999999	0.3955194	-1.0939873	0.9322700999999999
PROTEIN_REFOLDING	GOBP	21	1.8284296000000002	0.007941095	2.1419144	0.007049203	-1.0367998	0.84990704	0.69389796	0.98513	-0.84237164	0.87551683	-1.0909781	0.52928805	2.307945	0.0	1.8617305	0.0041134273999999995	0.9706472	0.8981195
RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP	70	-1.8682288	0.009235998	-1.5393358	0.18377519	-1.4826136	0.34960547	-1.1078273	0.8323845	-0.9388725	0.75585747	-0.522249	0.99695617	-1.4869367	0.35678014	-1.6187198999999999	0.28669479999999997	-1.0345935	0.9643203000000001
CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC	55	-1.865145	0.009481154	-1.5036927	0.21417485	-1.7749120999999999	0.038831636	-0.91589475	0.99300605	-0.41059786	0.9996699	0.66016424	1.0	-1.1027798999999998	0.6611007	-0.7946495	0.9091482	-1.0147096	0.9797718000000001
MALIGNANT_GENITOURINARY_TRACT_TUMOR	HP	26	-1.8684938000000002	0.009593435	-1.4661803999999998	0.24811767	-1.837894	0.016144002	-0.8974565000000001	1.0	-1.0340931	0.5895047	-0.88145953	0.84939235	-1.1227893	0.6342089	-0.81185704	0.89841014	-0.87519705	0.9998620999999999
