tf	small_hits_exp	large_hits_exp	md_score_exp	small_hits_sim	large_hits_sim	md_score_sim	elliptic_outlier	pval	significance
ELK4_HUMAN.H11MO.0.A	1297	3421	0.3791289096755335	3013	21580	0.13962001853568118	-1	3.897657227355826e-55	Enriched
ELK1_HUMAN.H11MO.0.B	1122	3164	0.35461441213653605	3077	24607	0.1250457186979315	-1	1.0658789952594853e-54	Enriched
NFYB_HUMAN.H11MO.0.A	1608	5421	0.29662423907028224	5766	54264	0.10625829279080053	-1	9.996773244201157e-43	Enriched
NFYC_HUMAN.H11MO.0.A	1527	5239	0.2914678373735446	5717	54597	0.10471271315273734	-1	1.1787514395964277e-41	Enriched
NFYA_HUMAN.H11MO.0.A	1457	5128	0.2841263650546022	5774	56144	0.10284269022513537	-1	6.059872394538767e-40	Enriched
CREB1_HUMAN.H11MO.0.A	410	1424	0.28792134831460675	1369	12540	0.10917065390749603	-1	1.8400271658364927e-37	Enriched
ATF1_HUMAN.H11MO.0.B	546	1827	0.2988505747126437	1351	11419	0.11831158595323585	-1	5.137724926838939e-36	Enriched
GABPA_HUMAN.H11MO.0.A	1689	5140	0.3285992217898833	3459	24816	0.13938588007736946	-1	1.999795209762622e-34	Enriched
ETV1_HUMAN.H11MO.0.A	1238	3764	0.3289054197662062	3612	24456	0.14769381746810598	-1	7.772166678251956e-30	Enriched
FOXI1_HUMAN.H11MO.0.B	1076	4281	0.2513431441252044	6060	60135	0.10077326016462958	-1	2.84341431061969e-29	Enriched
TFE3_HUMAN.H11MO.0.B	711	2673	0.265993265993266	2014	18329	0.10988051721315947	-1	3.018783861358165e-29	Enriched
ATF3_HUMAN.H11MO.0.A	588	2093	0.2809364548494983	1271	10447	0.12166172106824925	-1	6.775908429981425e-28	Enriched
CREM_HUMAN.H11MO.0.C	579	2179	0.26571821936668194	1984	17408	0.11397058823529413	-1	5.3205585385112696e-27	Enriched
TFEB_HUMAN.H11MO.0.C	530	1895	0.2796833773087071	1176	9583	0.12271731190650108	-1	6.072390125361252e-27	Enriched
ELF2_HUMAN.H11MO.0.C	1451	5052	0.2872129849564529	4044	31149	0.1298276028122893	-1	1.0786472137474898e-25	Enriched
NRF1_HUMAN.H11MO.0.A	3697	9902	0.3733589173904262	2080	11309	0.18392430807321605	-1	2.8006026040633353e-25	Enriched
USF1_HUMAN.H11MO.0.A	731	2734	0.267373811265545	1961	16442	0.11926772898674128	-1	7.651948092800641e-25	Enriched
TYY1_HUMAN.H11MO.0.A	1336	5526	0.2417661961635903	4639	42750	0.10851461988304094	-1	2.1159984554733553e-22	Enriched
MITF_HUMAN.H11MO.0.A	710	2890	0.24567474048442905	2522	22354	0.11282097163818555	-1	1.581512196910694e-21	Enriched
