NAME	dbtype	SIZE	NES_DMSO_0_c_vs_DMSO_120_c	FDR_q-val_DMSO_0_c_vs_DMSO_120_c	NES_DMSO_0_c_vs_DMSO_30_c	FDR_q-val_DMSO_0_c_vs_DMSO_30_c	NES_DMSO_0_c_vs_SY_0_c	FDR_q-val_DMSO_0_c_vs_SY_0_c	NES_DMSO_120_c_vs_SY_120_c	FDR_q-val_DMSO_120_c_vs_SY_120_c	NES_DMSO_30_c_vs_DMSO_120_c	FDR_q-val_DMSO_30_c_vs_DMSO_120_c	NES_DMSO_30_c_vs_SY_30_c	FDR_q-val_DMSO_30_c_vs_SY_30_c	NES_SY_0_c_vs_SY_120_c	FDR_q-val_SY_0_c_vs_SY_120_c	NES_SY_0_c_vs_SY_30_c	FDR_q-val_SY_0_c_vs_SY_30_c	NES_SY_30_c_vs_SY_120_c	FDR_q-val_SY_30_c_vs_SY_120_c	NES_DMSO_30_as_vs_MBPP1_30_as	FDR_q-val_DMSO_30_as_vs_MBPP1_30_as	NES_DMSO_30_d_vs_SY5102_30_d	FDR_q-val_DMSO_30_d_vs_SY5102_30_d
GLYCOSYLATION	GOBP	238	-1.9802784	0.0	-1.5743135	0.36199653	0.28015193	0.9962418	-0.8090189	0.98111045	-1.0192429	0.92932475	-0.6641304	0.9793455	-1.9239358	0.0	-1.7907099	0.10622837	-1.0494667	1.0	-0.80584586	0.9373661	-1.0802851999999998	0.81689924
BLOOD_MICROPARTICLE	GOCC	107	1.7857925	0.0	1.7707541	0.00014006383999999998	0.37187386	0.9611892	-0.69671685	0.99678326	1.3195021999999998	0.49265054	1.0912943000000002	1.0	1.7822381999999999	0.005209193	1.5401839	0.13543622	0.5636101	1.0	-1.2138084999999998	0.4313933	-1.1470219	0.6776911
CHAPERONE_MEDIATED_PROTEIN_FOLDING	GOBP	69	1.7616471000000002	0.0	1.7429508000000002	0.0011701353	0.57777387	0.8479302	-1.2830617	0.31363124	-1.5113264	0.88939905	-2.2753246	0.0	1.7704668999999997	0.008892957	1.5454658000000001	0.10873522599999999	-1.3583611999999998	0.92711043	-1.6711683000000002	0.014410673999999998	-1.3440065	0.42735326
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	GOBP	154	1.7944788	0.0	1.8009221999999998	0.0	-1.0676355	0.9673115	-1.326065	0.25587457	-1.7399688999999998	0.89014286	-2.2289088	0.0	1.8451598000000002	0.0	1.5703993	0.085072406	-1.4579913999999998	0.82705164	-1.6309502	0.02668609	-1.3722948999999998	0.44301599999999997
PROTEIN_FOLDING	GOBP	194	1.8104049999999998	0.0	1.8222337	0.0	-1.0545545	0.96498513	-1.2200383	0.4073704	-1.7172637	0.80493265	-2.2336216	0.0	1.8794234	0.0	1.5941213	0.025460036000000002	-1.4065313	0.8816081	-1.6204401000000002	0.02915624	-1.2489411	0.5494639
RESPONSE_TO_TEMPERATURE_STIMULUS	GOBP	153	1.7482723000000002	0.00015088981000000001	1.7886060000000001	0.0	-1.0237726	0.95772433	-1.2941817	0.2929134	-0.9524199000000001	0.9566872999999999	-1.9575098999999998	0.07599378400000001	1.8310328000000002	0.00034284306000000004	1.5665793	0.08037435	-1.2358516000000002	1.0	-1.6366146000000001	0.024751276000000003	-1.2055479	0.594743
HEAT_SHOCK_PROTEIN_BINDING	GOMF	119	1.7535793000000002	0.00017603811000000002	1.7688018	0.00012255587	-1.0990446000000003	0.9606916	-1.2745393999999999	0.3245015	-1.2174329	0.8885502000000001	-1.9078398999999997	0.1077902	1.7922919999999998	0.0036398068	1.5433078000000002	0.119829245	-1.216065	1.0	-1.6010508999999997	0.038427178	-1.3448084999999999	0.4222012
UNFOLDED_PROTEIN_BINDING	GOMF	109	1.7543863999999998	0.00021124574	1.7799429	0.0	-1.1016805	0.96240973	-1.2681483999999998	0.32899140000000004	-1.3679785	0.87284005	-2.1328745	0.002190581	1.8302438	0.00025713229999999997	1.5541235	0.086329274	-1.3916583	0.90358716	-1.5867299	0.044362273	-1.2824594999999999	0.4865975
CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	GOBP	94	1.7411324000000001	0.00023339932999999997	1.734923	0.0013497892000000002	-1.1138992	0.96714705	-1.3188118999999998	0.26126432	-1.4015438999999998	0.8762824	-1.7218761000000002	0.22822113	1.718113	0.056554087	1.5280329	0.15092948	-1.3887813999999998	0.9159886	-1.5844995000000002	0.04454239	-1.3885636000000001	0.44985506
CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	GOBP	113	1.7413241999999998	0.00026257423	1.718948	0.0041720970000000005	-1.0737883999999998	0.9667155000000001	-1.3204360000000002	0.25787514	-1.3024975	0.8655261999999999	-1.7042658	0.23641632	1.7384987	0.026101372999999997	1.5341109	0.13883649	-1.3394297	0.95352495	-1.530952	0.07512066	-1.3401068	0.44266940000000005
