Accession	Cell	TF	ES	pval.adj	condition	control	treatment
ENCSR000AHD.CTCF.MCF7	MCF7	CTCF	-0.34110999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AHF.TAF1.MCF7	MCF7	TAF1	-0.3233	0.10455782312925199	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AKB.CTCF.GM12878	GM12878	CTCF	-0.34814	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AKO.CTCF.K562	K562	CTCF	-0.34426	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ALA.CTCF.ENDOTHELIAL_UMBILICAL_VEIN	HUVEC	CTCF	-0.34819	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ALJ.CTCF.KERATINOCYTE	KERATINOCYTE	CTCF	-0.34141	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ALV.CTCF.EPITHELIAL_MAMMARY	EPITHELIAL MAMMARY	CTCF	-0.34302	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AMA.CTCF.HEPG2	HEPG2	CTCF	-0.34193	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AMF.CTCF.ESC_H1	ESC H1	CTCF	-0.33971999999999997	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ANE.CTCF.MYOBLAST_SKELETAL_MUSCLE	MYOBLAST SKELETAL MUSCLE	CTCF	-0.3429	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ANO.CTCF.FIBROBLAST_LUNG	FIBROBLAST LUNG	CTCF	-0.34685	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ANS.CTCF.MYOTUBE	MYOTUBE	CTCF	-0.34402	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AOA.CTCF.HELA_S3	HELA S3	CTCF	-0.3437	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AOO.CTCF.ASTROCYTE	ASTROCYTE	CTCF	-0.34313	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000APF.CTCF.OSTEOBLAST	OSTEOBLAST	CTCF	-0.33814	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000APM.CTCF.FIBROBLAST_DERMAL	FIBROBLAST DERMAL	CTCF	-0.34391	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQA.KDM5B.K562	K562	KDM5B	-0.35454	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQB.EP300.K562	K562	EP300	-0.43521000000000004	0.0602130177514793	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQC.RBBP5.ESC_H1	ESC H1	RBBP5	-0.33416	0.00616279069767442	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQD.CHD1.K562	K562	CHD1	-0.34795	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQE.EZH2.K562	K562	EZH2	-0.36862	0.11044167610418999	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQF.HDAC1.K562	K562	HDAC1	-0.35484	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQG.HDAC2.K562	K562	HDAC2	-0.39715	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQH.PHF8.K562	K562	PHF8	-0.35067	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQI.RBBP5.K562	K562	RBBP5	-0.3452	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQJ.SAP30.K562	K562	SAP30	-0.35908	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQK.CHD1.ESC_H1	ESC H1	CHD1	-0.33155	0.011568894952251	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQL.KDM5A.ESC_H1	ESC H1	KDM5A	-0.36491	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AQU.CTCF.DND41	DND41	CTCF	-0.34096	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ARD.EZH2.GM12878	GM12878	EZH2	-0.30967	0.852608695652174	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ARE.EZH2.EPITHELIAL_MAMMARY	EPITHELIAL MAMMARY	EZH2	-0.38206999999999997	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ARH.EZH2.MYOBLAST_SKELETAL_MUSCLE	MYOBLAST SKELETAL MUSCLE	EZH2	-0.38852	0.0833294797687861	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ARI.EZH2.HEPG2	HEPG2	EZH2	-0.36449000000000004	0.0128571428571429	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ARK.EZH2.KERATINOCYTE	KERATINOCYTE	EZH2	-0.3672	0.00478195488721805	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ARO.EZH2.FIBROBLAST_LUNG	FIBROBLAST LUNG	EZH2	-0.38574	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ARR.EZH2.ASTROCYTE	ASTROCYTE	EZH2	-0.40349	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ASE.EZH2.FIBROBLAST_DERMAL	FIBROBLAST DERMAL	EZH2	-0.37885	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ASW.EZH2.DND41	DND41	EZH2	-0.31176	0.343004032258065	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ASY.EZH2.ESC_H1	ESC H1	EZH2	-0.35134	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ASZ.EZH2.MYOTUBE	MYOTUBE	EZH2	-0.37517	0.00616279069767442	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATA.EZH2.ENDOTHELIAL_UMBILICAL_VEIN	HUVEC	EZH2	-0.3718	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATC.EZH2.HELA_S3	HELA S3	EZH2	-0.36080999999999996	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATJ.HDAC6.K562	K562	HDAC6	-0.44635	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATK.PHF8.ESC_H1	ESC H1	PHF8	-0.34165999999999996	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATL.CHD4.K562	K562	CHD4	-0.42962	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATM.REST.K562	K562	REST	-0.34239	0.031681195516812	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATN.CTCF.CD14	CD14	CTCF	-0.35272	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATQ.HDAC6.ESC_H1	ESC H1	HDAC6	-0.39895	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATR.SAP30.ESC_H1	ESC H1	SAP30	-0.33699	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATS.SUZ12.ESC_H1	ESC H1	SUZ12	-0.35531999999999997	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATT.CREBBP.K562	K562	CREBBP	-0.35001	0.14533188248095802	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATU.CBX2.K562	K562	CBX2	-0.309	0.4533984375	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATV.CBX3.K562	K562	CBX3	-0.38574	0.253740932642487	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATX.KDM1A.K562	K562	KDM1A	-0.35161	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATY.NCOR1.K562	K562	NCOR1	0.32031	0.41646594274432397	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000ATZ.KAT2B.K562	K562	KAT2B	-0.39300999999999997	0.00478195488721805	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUB.SIRT6.K562	K562	SIRT6	-0.37971	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUC.SUZ12.K562	K562	SUZ12	-0.32852	0.15618634886240498	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUD.EP300.OSTEOBLAST	OSTEOBLAST	EP300	-0.32054	0.130878754171301	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUE.CTCF.A549	A549	CTCF	-0.34221999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUF.CTCF.A549	A549	CTCF	-0.34183	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUQ.EP300.ESC_H1	ESC H1	EP300	-0.35599000000000003	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUR.KDM5B.ESC_H1	ESC H1	KDM5B	-0.39086	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUS.SIRT6.ESC_H1	ESC H1	SIRT6	-0.45243	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUT.SETDB1.K562	K562	SETDB1	-0.35265	0.18924548352816198	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUV.CTCF.BCELL	BCELL	CTCF	-0.33942	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AUZ.EZH2.BCELL	BCELL	EZH2	-0.35845	0.0230729833546735	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AVA.CHD7.ESC_H1	ESC H1	CHD7	-0.32158000000000003	0.13499446290144002	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AVB.HDAC2.ESC_H1	ESC H1	HDAC2	-0.33962	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AVC.KDM4A.ESC_H1	ESC H1	KDM4A	-0.33910999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AVD.CHD7.K562	K562	CHD7	-0.40494	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000AVE.NSD2.K562	K562	NSD2	-0.40497	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGA.FOXP2.PFSK1	PFSK1	FOXP2	-0.34475	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGC.GABPA.GM12878	GM12878	GABPA	-0.34115	0.011568894952251	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGE.SRF.GM12878	GM12878	SRF	-0.31906	0.261444788441692	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGF.REST.GM12878	GM12878	REST	-0.3424	0.0352897657213317	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGI.USF1.GM12878	GM12878	USF1	-0.35436999999999996	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGK.JUND.HEPG2	HEPG2	JUND	-0.33214	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGL.SIN3A.HEPG2	HEPG2	SIN3A	-0.34358	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGM.USF1.HEPG2	HEPG2	USF1	-0.35131999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGP.POU2F2.GM12878	GM12878	POU2F2	-0.33605	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGQ.SPI1.GM12878	GM12878	SPI1	-0.33603	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGR.PBX3.GM12878	GM12878	PBX3	-0.3486	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGS.TAF1.GM12878	GM12878	TAF1	-0.34071	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGT.BATF.GM12878	GM12878	BATF	-0.32777	0.0205958549222798	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGU.EBF1.GM12878	GM12878	EBF1	-0.33910999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGW.SPI1.K562	K562	SPI1	-0.32804	0.0193986928104575	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGX.SIX5.K562	K562	SIX5	-0.37476	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGY.IRF4.GM12878	GM12878	IRF4	-0.34037	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BGZ.TCF12.GM12878	GM12878	TCF12	-0.34083	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHA.BCL11A.GM12878	GM12878	BCL11A	-0.3397	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHB.EP300.GM12878	GM12878	EP300	-0.33618000000000003	0.0243057324840764	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHC.ZBTB33.GM12878	GM12878	ZBTB33	-0.35395	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHD.PAX5.GM12878	GM12878	PAX5	-0.33996	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
