assay	sample_read1	sample_read2	id	idx	coded_reps	replicate	batch	advanced_batch	genotype	drug_pretreatment	hs_time	recovery_time	total_time	tx_type	group	millionsmapped_updated	spikein	spikein_mm	VSI	deseq2_ercc_norm	fastq_path	analysis_path	path_sep	color
RNA	JKR1_DMSO_R1_S4_L004_R1_001.fastq.gz	JKR1_DMSO_R1_S4_L004_R2_001.fastq.gz	DMSO_R1	DMSO_R1_d5	A	R1	1	1	ov90	30	30	60	120	DMSO	DMSO_30_d	257387092	ercc	45089060		1.0333779	WT_5102_RNAseq/raw_fastqs	RNAseq/d5102	d5102	#5aae61
RNA	JKR1_DMSO_R2_S5_L004_R1_001.fastq.gz	JKR1_DMSO_R2_S5_L004_R2_001.fastq.gz	DMSO_R2	DMSO_R2_d5	A	R2	2	2	ov90	30	30	60	120	DMSO	DMSO_30_d	318917685	ercc	55862599		1.2426956	WT_5102_RNAseq/raw_fastqs	RNAseq/d5102	d5102	#5aae61
RNA	JKR1_DMSO_R3_S6_L004_R1_001.fastq.gz	JKR1_DMSO_R3_S6_L004_R2_001.fastq.gz	DMSO_R3	DMSO_R3_d5	A	R3	3	3	ov90	30	30	60	120	DMSO	DMSO_30_d	259113004	ercc	45830322		1.042917	WT_5102_RNAseq/raw_fastqs	RNAseq/d5102	d5102	#5aae61
RNA	JKR_SY5102_R1_S7_L004_R1_001.fastq.gz	JKR_SY5102_R1_S7_L004_R2_001.fastq.gz	SY5102_R1	SY5102_R1	B	R1	1	1	ov90	30	30	60	120	SY5102	SY5102_30_d	256045325	ercc	45268625		1.0217905	WT_5102_RNAseq/raw_fastqs	RNAseq/d5102	d5102	#d01c8b
RNA	JKR_SY5102_R2_S8_L004_R1_001.fastq.gz	JKR_SY5102_R2_S8_L004_R2_001.fastq.gz	SY5102_R2	SY5102_R2	B	R2	2	2	ov90	30	30	60	120	SY5102	SY5102_30_d	222620142	ercc	41398856		0.9540426	WT_5102_RNAseq/raw_fastqs	RNAseq/d5102	d5102	#d01c8b
RNA	JKR_SY5102_R3_S9_L004_R1_001.fastq.gz	JKR_SY5102_R3_S9_L004_R2_001.fastq.gz	SY5102_R3	SY5102_R3	B	R3	3	3	ov90	30	30	60	120	SY5102	SY5102_30_d	282269307	ercc	49418433		1.0979823	WT_5102_RNAseq/raw_fastqs	RNAseq/d5102	d5102	#d01c8b
RNA	JKR1_DMSO_R1_S13_L004_R1_001.fastq.gz	JKR1_DMSO_R1_S13_L004_R2_001.fastq.gz	DMSO_R1	DMSO_R1_mb	A	R1	1	4	ov90as	30	30	60	120	DMSO	DMSO_30_as	215304232	ercc	39440576		0.9797181999999999	CDK7as_3MBPP1_RNAseq/Taatjes_03092022	RNAseq/mbpp1	mbpp1	#5aae61
RNA	JKR2_DMSO_R2_S14_L004_R1_001.fastq.gz	JKR2_DMSO_R2_S14_L004_R2_001.fastq.gz	DMSO_R2	DMSO_R2_mb	A	R2	2	5	ov90as	30	30	60	120	DMSO	DMSO_30_as	209776650	ercc	38399978		0.9583833	CDK7as_3MBPP1_RNAseq/Taatjes_03092022	RNAseq/mbpp1	mbpp1	#5aae61
RNA	JKR3_DMSO_R3_S15_L004_R1_001.fastq.gz	JKR3_DMSO_R3_S15_L004_R2_001.fastq.gz	DMSO_R3	DMSO_R3_mb	A	R3	3	6	ov90as	30	30	60	120	DMSO	DMSO_30_as	223750323	ercc	40455984		1.0069883	CDK7as_3MBPP1_RNAseq/Taatjes_03092022	RNAseq/mbpp1	mbpp1	#5aae61
RNA	JKR4_3MB_R1_S16_L004_R1_001.fastq.gz	JKR4_3MB_R1_S16_L004_R2_001.fastq.gz	MB_R1	MB_R1	B	R1	1	4	ov90as	30	30	60	120	3MBPP1	MBPP1_30_as	195895111	ercc	35339798		0.8667919	CDK7as_3MBPP1_RNAseq/Taatjes_03092022	RNAseq/mbpp1	mbpp1	#f1b6da
RNA	JKR5_3MB_R2_S17_L004_R1_001.fastq.gz	JKR5_3MB_R2_S17_L004_R2_001.fastq.gz	MB_R2	MB_R2	B	R2	2	5	ov90as	30	30	60	120	3MBPP1	MBPP1_30_as	241385939	ercc	43194583		1.0394785	CDK7as_3MBPP1_RNAseq/Taatjes_03092022	RNAseq/mbpp1	mbpp1	#f1b6da
RNA	JKR6_3MB_R3_S18_L004_R1_001.fastq.gz	JKR6_3MB_R3_S18_L004_R2_001.fastq.gz	MB_R3	MB_R3	B	R3	3	6	ov90as	30	30	60	120	3MBPP1	MBPP1_30_as	227302348	ercc	41691126		1.0293662000000001	CDK7as_3MBPP1_RNAseq/Taatjes_03092022	RNAseq/mbpp1	mbpp1	#f1b6da
RNA	JKR1_S1_L004_R1_001.fastq.gz	JKR1_S1_L004_R2_001.fastq.gz	DMSO_0_R1	DMSO_0_R1	A	R1	1	7	ov90	30	0	0	30	DMSO	DMSO_0_c	193580985	ercc	37615971		0.9340118000000001	220512_A00405_0582_AHNH7LDSX3	RNAseq/c5609	c5609	#d9f0d3
RNA	JKR2_S2_L004_R1_001.fastq.gz	JKR2_S2_L004_R2_001.fastq.gz	DMSO_0_R2	DMSO_0_R2	A	R2	2	8	ov90	30	0	0	30	DMSO	DMSO_0_c	273907473	ercc	53082598		1.3024403999999998	220512_A00405_0582_AHNH7LDSX3	RNAseq/c5609	c5609	#d9f0d3
RNA	JKR3_S3_L004_R1_001.fastq.gz	JKR3_S3_L004_R2_001.fastq.gz	DMSO_0_R3	DMSO_0_R3	A	R3	3	9	ov90	30	0	0	30	DMSO	DMSO_0_c	230827476	ercc	44927794		1.1115446000000002	220512_A00405_0582_AHNH7LDSX3	RNAseq/c5609	c5609	#d9f0d3
