gene	hoco_tf
HES5	HES5
PAX7	PAX7
E2F2	E2F2
RUNX3	RUNX3
MTF1	MTF1
NFYC	NFYC
FOXO6	FOXO6
FOXJ3	FOXJ3
DMBX1	DMBX1
TAL1	TAL1
FOXD2	FOXD2
GLIS1	GLIS1
JUN	JUN
NFIA	NFIA
FOXD3	FOXD3
LHX8	LHX8
FUBP1	FUBP1
GFI1	GFI1
ALX3	ALX3
TBX15	TBX15
ARNT	ARNT
RFX5	RFX5
MEF2D	MEF2D
ETV3	ETV3
USF1	USF1
NR1I3	NR1I3
PBX1	PBX1
LMX1A	LMX1A
RXRG	RXRG
TBX19	TBX19
PRRX1	PRRX1
LHX4	LHX4
LHX9	LHX9
NR5A2	NR5A2
ELF3	ELF3
MYOG	MYOG
SOX13	SOX13
ELK4	ELK4
ATF3	ATF3
BATF3	BATF3
PROX1	PROX1
MIXL1	MIXL1
KLF6	KLF6
GATA3	GATA3
PTF1A	PTF1A
ZEB1	ZEB1
CREM	CREM
DRGX	DRGX
EGR2	EGR2
PAX2	PAX2
TLX1	TLX1
PITX3	PITX3
NFKB2	NFKB2
MXI1	MXI1
VAX1	VAX1
EMX2	EMX2
HMX3	HMX3
HMX2	HMX2
VENTX	VENTX
IRF7	IRF7
ASCL2	ASCL2
TEAD1	TEAD1
MYOD1	MYOD1
E2F8	E2F8
PAX6	PAX6
WT1	WT1
ELF5	ELF5
EHF	EHF
ALX4	ALX4
NR1H3	NR1H3
SPI1	SPI1
OVOL1	OVOL1
FOSL1	FOSL1
HINFP	HINFP
ETS1	ETS1
FLI1	FLI1
BARX2	BARX2
FOXM1	FOXM1
TEAD4	TEAD4
NANOG	NANOG
FOXJ2	FOXJ2
ETV6	ETV6
SOX5	SOX5
VDR	VDR
ATF1	ATF1
TFCP2	TFCP2
NR4A1	NR4A1
RARG	RARG
SP1	SP1
ATF7	ATF7
NFE2	NFE2
STAT2	STAT2
STAT6	STAT6
GLI1	GLI1
