pathway	gene
DE_NOVO_PROTEIN_FOLDING	HSPA6
DE_NOVO_PROTEIN_FOLDING	HSPA7
DE_NOVO_PROTEIN_FOLDING	DNAJB1
DE_NOVO_PROTEIN_FOLDING	HSPH1
DE_NOVO_PROTEIN_FOLDING	HSPA1L
DE_NOVO_PROTEIN_FOLDING	HSPA1B
DE_NOVO_PROTEIN_FOLDING	HSPA1A
DE_NOVO_PROTEIN_FOLDING	HSPD1
DE_NOVO_PROTEIN_FOLDING	HSPE1
DE_NOVO_PROTEIN_FOLDING	HSPA8
DE_NOVO_PROTEIN_FOLDING	PTGES3
DE_NOVO_PROTEIN_FOLDING	ST13
DE_NOVO_PROTEIN_FOLDING	FKBP1B
DE_NOVO_PROTEIN_FOLDING	TOR1B
DE_NOVO_PROTEIN_FOLDING	HSPA2
DE_NOVO_PROTEIN_FOLDING	SDF2L1
DE_NOVO_PROTEIN_FOLDING	DNAJC7
DE_NOVO_PROTEIN_FOLDING	ST13P4
DE_NOVO_PROTEIN_FOLDING	DNAJB13
DE_NOVO_PROTEIN_FOLDING	TOR2A
DE_NOVO_PROTEIN_FOLDING	SDF2
DE_NOVO_PROTEIN_FOLDING	DNAJB5
DE_NOVO_PROTEIN_FOLDING	CD74
DE_NOVO_PROTEIN_FOLDING	DNAJB4
DE_NOVO_PROTEIN_FOLDING	CCT2
DE_NOVO_PROTEIN_FOLDING	HSPA9
DE_NOVO_PROTEIN_FOLDING	DNAJB14
DE_NOVO_PROTEIN_FOLDING	UGGT1
DE_NOVO_PROTEIN_FOLDING	CHCHD4
DE_NOVO_PROTEIN_FOLDING	BAG1
DE_NOVO_PROTEIN_FOLDING	HSPA5
DE_NOVO_PROTEIN_FOLDING	SELENOF
DE_NOVO_PROTEIN_FOLDING	HSPA13
DE_NOVO_PROTEIN_FOLDING	GAK
DE_NOVO_PROTEIN_FOLDING	HSPA14
DE_NOVO_PROTEIN_FOLDING	ERO1A
DE_NOVO_PROTEIN_FOLDING	DNAJC2
DE_NOVO_PROTEIN_FOLDING	FKBP1A
DE_NOVO_PROTEIN_FOLDING	DNAJB12
DE_NOVO_PROTEIN_FOLDING	DNAJC18
DE_NOVO_PROTEIN_FOLDING	TOR1A
DE_NOVO_PROTEIN_FOLDING	ENTPD5
PROTEIN_FOLDING_CHAPERONE	HSP90AA1
PROTEIN_FOLDING_CHAPERONE	HSPB1
PROTEIN_FOLDING_CHAPERONE	DNAJB6
PROTEIN_FOLDING_CHAPERONE	TCP1
PROTEIN_FOLDING_CHAPERONE	HSP90AB1
PROTEIN_FOLDING_CHAPERONE	ZMYND10
PROTEIN_FOLDING_CHAPERONE	CCT3
PROTEIN_FOLDING_CHAPERONE	CCT4
PROTEIN_FOLDING_CHAPERONE	CCT6A
PROTEIN_FOLDING_CHAPERONE	CCDC47
PROTEIN_FOLDING_CHAPERONE	WDR83OS
PROTEIN_FOLDING_CHAPERONE	RIC3
PROTEIN_FOLDING_CHAPERONE	CCT8
PROTEIN_FOLDING_CHAPERONE	PDCL3
PROTEIN_FOLDING_CHAPERONE	CCT7
PROTEIN_FOLDING_CHAPERONE	CALR3
PROTEIN_FOLDING_CHAPERONE	PFDN2
PROTEIN_FOLDING_CHAPERONE	CCT5
PROTEIN_FOLDING_CHAPERONE	CALR
PROTEIN_FOLDING_CHAPERONE	CLGN
PROTEIN_FOLDING_CHAPERONE	DFFA
PROTEIN_FOLDING_CHAPERONE	PFDN1
PROTEIN_FOLDING_CHAPERONE	FKBP8
PROTEIN_FOLDING_CHAPERONE	CCT6B
RESPONSE_TO_HEAT	DNAJA4
RESPONSE_TO_HEAT	BAG3
RESPONSE_TO_HEAT	IER5
RESPONSE_TO_HEAT	MICB
RESPONSE_TO_HEAT	CHORDC1
RESPONSE_TO_HEAT	DNAJA1
RESPONSE_TO_HEAT	SOD1
RESPONSE_TO_HEAT	ASIC3
RESPONSE_TO_HEAT	CD14
