gene	tf	hoco_tf	gc_percentage	ROI_ov90	basal_transcription_ov90	padj_ov90	log2FoldChange_ov90	ROI_hct116	basal_transcription_hct116	padj_hct116	log2FoldChange_hct116	basal_expression_30minRNA	padj_30minRNA	log2FoldChange_30minRNA	basal_expression_4hrRNA	padj_4hr40nmRNA	log2FoldChange_4hr40nmRNA	padj_4hr400nmRNA	log2FoldChange_4hr400nmRNA	corrected_e-score_ov90	corrected_padj_ov90	corrected_e-score_hct116	corrected_padj_hct116	corrected_log2FoldChange_ov90_30minProt	corrected_pval_ov90_30minProt	log2FoldChange_ov90_30minProt	padj_ov90_30minProt	pval_ov90_30minProt	corrected_log2FoldChange_ov90_120minProt	corrected_pval_ov90_120minProt	log2FoldChange_ov90_120minProt	padj_ov90_120minProt	pval_ov90_120minProt	corrected_log2FoldChange_hct116_30minProt	corrected_pval_hct116_30minProt	log2FoldChange_hct116_30minProt	padj_hct116_30minProt	pval_hct116_30minProt	corrected_log2FoldChange_hct116_120minProt	corrected_pval_hct116_120minProt	log2FoldChange_hct116_120minProt	padj_hct116_120minProt	pval_hct116_120minProt	sameIso?	md_score_exp_ov90	md_score_exp_hct116
ATF6	ATF6A_HUMAN.H11MO.0.B	ATF6A	0.6679487179487179	ATF6:NM_007348.4	1803.528492661025	0.7786363340314829	-0.23659048354302695	ATF6:NM_007348.4	4632.0	0.7765087889896619	0.237926745435286	6136.279209332163	0.9998793116997858	-0.0122899665420324	4115.969277880789	5.27012898482761e-08	0.24140587961905105	1.8216135890964105e-15	0.337867775439068	0.029207407876738086	1.0	0.017391681549727978	1.0	0.152019027	0.339617534	0.148648015		0.31782014	-0.089668803	0.559117555	-0.087345238		0.537327652	-0.235290511	0.036674662	-0.235981811		0.030192023	-0.153756419	0.203535434	-0.164009694		0.16303189199999998	1	0.21356615177971794	0.18759139335700856
ZNF263	ZN263_HUMAN.H11MO.0.A	ZN263	0.6524048096192385	ZNF263:NM_005741.5	873.82741657715	0.5249670987437199	-0.370464023171118	ZNF263:NM_005741.5	964.3333333333335	0.31021655175456503	-0.8392455130377099	3530.969685792297	0.9998793116997858	-0.123336274461916	1030.6897605186787	0.19297900983456895	0.0993571370665313	0.00396474797476601	0.187025197914721	-0.012099439576154142	0.762	-0.004110807536153671	1.0	0.163795939	0.231328092	0.164104532		0.21146255100000005	-0.208350358	0.056041706	-0.204870867		0.040151745	0.101317245	0.294597543	0.094148397		0.284674259	-0.076097804	0.276088919	-0.077842727		0.233522992	1	0.15594726026523031	0.1708616301278053
TAF1	TAF1_HUMAN.H11MO.0.A	TAF1	0.6260000000000002	TAF1:NM_004606.5	2953.011785273065	0.6399782702917509	-0.306825092537189	TAF1:NM_001286074.2	4819.0	0.477448965813724	-0.564746093253279	5142.51610113679	0.9998793116997858	-0.0499041025899753	1980.8207461885868	0.813689664755928	-0.0214871470121911	0.0601349233810864	-0.119116732746405	-0.09041271421609208	9.999999999999999e-16	-0.05065738772653299	0.001	0.176263964	0.302319448	0.178922887		0.26590807	-0.06655413	0.741430012	-0.062352095		0.739559027	0.027490537	0.5998885820000001	0.0268343		0.574944485			0.0	1.0		0	0.19683360430715105	0.2387401948107921
CREM	CREM_HUMAN.H11MO.0.C	CREM	0.5352086438152012	CREM:NM_183060.3	1073.8911174872173	0.676537952309061	-0.305435482725231	CREM:NM_183060.3	2175.333333333333	0.5638050248168779	-0.464052728577794	428.9124754475663	0.9998793116997858	-0.087180231229693	157.841321256888	0.0817436424779181	0.298432380755294	0.252892840545362	0.20215413654118694	-0.11861972899440636	1.0	-0.07975603991242686	1.0	0.040590999	0.616346372	0.037570021		0.612119188	-0.175551525	0.071922721	-0.173161757		0.053860882			0.0	1.0				0.0	1.0		1	0.26571821936668194	0.21463790446841294
E2F6	E2F6_HUMAN.H11MO.0.A	E2F6	0.6635384615384615	E2F6:NM_001278276.2	1199.690407476475	0.0450624525039518	-1.37989089186993	E2F6:NM_001278278.2	2944.0	0.17010640362993806	-1.19040534906135	2020.7886934087803	0.9998793116997858	-0.223121622935733	1001.8700869303647	0.000375150515779592	-0.262906378292164	5.61925640631639e-09	-0.4068566563494261	-0.08823487421966195	1e-07	-0.10139659912929157	1e-06	-0.022763143	0.774339503	-0.021612976		0.7597239570000001	-0.071013576	0.434910222	-0.072281165		0.3999914470000001	-0.006938005	0.935410644	-0.010377678		0.8962210540000001	-0.131357374	0.150564687	-0.13479535199999998		0.118812013	0	0.15899117946899516	0.17916951469583048
FOXI1	FOXI1_HUMAN.H11MO.0.B	FOXI1	0.4444444444444445	FOXI1:NM_012188.5	0.0		0.365379705376491	FOXI1:NM_012188.5	0.0			0.0		1.13246532732861	0.0					-0.10561499333586158	0.001	-0.08779324003987796	1.0			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		1	0.2513431441252044	0.17236142748671224
GABPA	GABPA_HUMAN.H11MO.0.A	GABPA	0.6139999999999999	GABPA:NM_001197297.2	778.6007210785036	0.251364295148448	-0.8944286302598821	GABPA:NM_001197297.2	1414.666666666667	0.259164892149726	-0.9456266708294108	2978.6669575759865	0.9998793116997858	-0.00832316853539235	1608.0712985168566	0.0550484071880361	-0.15387389036985	0.00325423645038676	-0.215939259128065	-0.11004360799082387	0.001	0.03605819097201818	1.0	-0.075961403	0.331044753	-0.078963083		0.28655674	0.097814214	0.17418901399999998	0.096704208		0.146080051	0.054633479000000006	0.48263416	0.056549843		0.434348074	0.065235117	0.34964547100000004	0.069057682		0.293479484	1	0.3285992217898833	0.2916495269436446
ZBTB33	KAISO_HUMAN.H11MO.0.A	KAISO	0.6056224899598396	ZBTB33:NM_006777.4	116.738791506037	0.82942640684239	-0.3767952580439339	ZBTB33:NM_006777.4	214.16666666666663	0.32780992380720003	-0.8477713782376429	2012.3617623230398	0.9998793116997858	-0.0833792454297556	1167.6081886246966	0.106236630017696	-0.194701751607535	5.16252775363479e-06	-0.472785678485838	-0.056683424607419965	1.0	0.05436337922698248	1.0	0.042628781	0.88576504	0.043942597		0.8770337890000001	-0.244411884	0.286296897	-0.246012264		0.252272078	-0.019343408	0.837197321	-0.025913125		0.766622427	-0.071932646	0.442845482	-0.078318445		0.376363882	1	0.3269435569755059	0.3754074074074074
VEZF1	VEZF1_HUMAN.H11MO.0.C	VEZF1	0.6360909090909093	VEZF1:NM_007146.3	1440.24272607915	0.14529931463778606	-1.02596832970613	VEZF1:NM_001330393.2	2175.6666666666665	0.38278508942468	-0.7056976379920359	8940.483952545057	0.9998793116997858	-0.0502446909087288	2819.0589766434728	9.812938754722708e-05	-0.222828015783107	1.4099841575831e-06	-0.264590619557082	-0.00029663072035432386	1.0	0.005547023414434749	1.0	0.158574996	0.150341392	0.162634784		0.129392813	-0.168122347	0.113569841	-0.16455515199999998		0.087610914	0.009157731	0.928150065	0.002581678		0.977580364	-0.099498457	0.254098863	-0.102961934		0.208433657	0	0.14584715911991425	0.15581769133487158
EHF	EHF_HUMAN.H11MO.0.B	EHF	0.4998666666666667	EHF:NM_012153.6	2499.0900709173748	0.0590469292064762	-1.03775130072023	EHF:NM_001378048.1	1096.3333333333333	0.272190158773393	-1.06367035225706	9673.462823368936	0.9998793116997858	-0.0295433629132157	2994.8380750073834	0.158170199077617	-0.0998198202825628	0.0801947083478212	-0.114688563834882	0.006491349920693501	1.0	0.016551390302851576	1.0	0.044912664000000005	0.72345773	0.040935191		0.722333346	-0.084234776	0.6145650779999999	-0.083188853		0.590402725	0.018201002	0.862449444	0.019776485		0.832688311	-0.066131629	0.374377015	-0.058623976		0.385282346	0	0.16188127532147262	0.14725109344871373
ELK1	ELK1_HUMAN.H11MO.0.B	ELK1	0.5927272727272727	ELK1:NM_005229.4	463.163708288575	0.3946460969995661	-0.594366488285827	ELK1:NM_001257168.1	896.0	0.141377206386612	-1.32555419716655	3604.5543005277427	0.9998793116997858	0.0067573343195588	1543.1860330567301	0.0160021851252383	-0.15742943602002402	0.007440284281569971	-0.166792687070767	-0.1075240846592176	1.0	0.0622401666047453	1.0			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		0	0.35461441213653605	0.3263850795392211
KLF12	KLF12_HUMAN.H11MO.0.C	KLF12	0.8533789219629927	KLF12:NM_007249.5	4316.94596170928	0.934181005965448	0.0786637036279949	KLF12:NM_007249.5	3139.166666666666	0.4677144887521911	0.549055743018584	2303.6656905185973	0.9998793116997858	-0.0550688884535557	889.0438672579829	0.00319457988615135	0.255858573689439	0.000258559188362521	0.300849038347362	-0.09900205532930384	1.0000000000000001e-20	-0.06709181196404923	1e-07	-0.196690776	0.30998200000000004	-0.20789499600000005		0.26242229	0.140672961	0.288640627	0.14192645		0.239042096			0.0	1.0				0.0	1.0		1	0.29869130100076985	0.3691327118811555
MAZ	MAZ_HUMAN.H11MO.0.A	MAZ	0.6748181818181817	MAZ:NM_001276275.2	1862.5192514536152	0.462545338567764	-0.579034311382679	MAZ:NR_074080.2	3088.5	0.22804267084613894	-1.03092406650016	20374.58363549	0.9998793116997858	-0.108877433803889	5756.1248628343765	2.6095412149918497e-06	-0.230797800848722	9.3928680052293e-08	-0.25409276046171103	0.01005902871098735	1.0	0.016946493536247054	0.01	0.094922299	0.264919392	0.094990669		0.233657879	-0.124931428	0.244998135	-0.121753782		0.219136903	0.045968683	0.614458779	0.037014958		0.6625056229999999	-0.035318014	0.709785315	-0.04226278		0.635892624	0	0.15419135547287674	0.16708749510760446
ZNF770	ZN770_HUMAN.H11MO.0.C	ZN770	0.6641929499072358	ZNF770:NM_014106.4	724.3053472160875	0.210550150015074	-0.9087154566659208	ZNF770:NM_014106.4	2556.333333333333	0.426232073352466	-0.641699128122692	4532.947317964667	0.9998793116997858	-0.0699455171051429	2705.620436066113	0.0454518714308305	0.181775655488827	0.289519048436651	-0.10277367691179902	0.09373267699302744	9.999999999999996e-281	0.11044557665891858	9.999999999999996e-290	0.178858868	0.2810514	0.182823428		0.238126367	-0.431860337	0.003213801	-0.430932584		0.00171635	-0.081315752	0.461708719	-0.085477463		0.409813116	-0.200254023	0.053691778	-0.203531312		0.041543239	1	0.09370207896242608	0.07960537530951947
KLF5	KLF5_HUMAN.H11MO.0.A	KLF5	0.7022857142857146	KLF5:NM_001730.5	6404.78086291325	0.528181047011052	-0.5215474951562	KLF5:NM_001730.5	1511.0	0.6995460201238362	-0.328866240490176	41745.924243408	0.9998793116997858	-0.0155025560633738	11252.206028631968	0.599267942526631	-0.0266465258910301	0.117606477041239	-0.0631349576339225	-0.01182375019203935	1.0	-0.01835520981656497	1.0	0.146560932	0.524168004	0.14606907		0.50355223	-0.202606564	0.385020558	-0.197173806		0.35932758200000003	-0.023017031	0.7991685340000001	-0.023469307		0.7726775159999999	-0.124275728	0.03804057	-0.12465791		0.026378996	1	0.20045770469571114	0.19864720870975214
ETV1	ETV1_HUMAN.H11MO.0.A	ETV1	0.6381818181818182	ETV1:NM_001163149.2	434.1932438301896	0.650245552596021	-0.44230864467667297	ETV1:NM_001163149.2	2199.1666666666665	0.25340934376658203	-0.965748817749964	445.58554475272604	0.9998793116997858	-0.0169486432459095	288.52958184684263	0.18421655446306695	-0.210416350490883	0.000134931340681849	-0.51542051203679	-0.1112542308983138	0.1	0.0063909767738503645	1.0			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		1	0.3289054197662062	0.32010487427005124
CTCF	CTCF_HUMAN.H11MO.0.A	CTCF	0.6975789473684211	CTCF:NM_006565.4	3483.01606747304	0.163902795368913	-0.753309723406649	CTCF:NM_001191022.2	6644.666666666668	0.161830177330939	-1.2036240637853002	9450.61620848782	0.9998793116997858	-0.0289075576731533	4372.011740532813	2.8589925106781003e-30	-0.490100284179243	1.1030037891373099e-50	-0.6327884102251999	0.004250733356798792	1.0	-0.016636120013219846	1.0	0.310315508	0.155122679	0.310191535		0.132322586	-0.389046865	0.055618316	-0.388227694		0.035943489	0.06166255900000001	0.599169364	0.052961651		0.628066802	0.06839715099999999	0.521275707	0.05706588		0.568021046	0	0.1992624618514751	0.27551057555790165
FEV	FEV_HUMAN.H11MO.0.B	FEV	0.6052208835341367	FEV:NM_017521.3	15.060498483220902	0.209254967867335	-4.49398499613232	FEV:NM_017521.3	0.0			60.421499143181535	0.9998793116997858	-0.155948650515688	5.552323178546136	0.63034428143443	-0.669734327425201	0.8437713110546731	0.262799071828341	-0.16360778831341796	0.001	-0.12314598927820593	0.1			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		1	0.213073965166252	0.2299838339147452
