gene	log2FoldChange_ov90_30minProt	pval_ov90_30minProt	log2FoldChange_ov90_120minProt	pval_ov90_120minProt
CNGA2	0.41591585700000006	0.000386632	-0.090206379	0.519009826
HIST1H2BD	0.9345826690000001	0.000534418	-0.811648875	0.073409529
HIST1H2BN	0.826859358	0.000716328	-0.5732031129999999	0.22103255100000002
NELFB	-0.256542566	0.001301534	-0.365934906	0.00043741900000000003
H2AFY	0.706796434	0.001468139	-0.032434046	0.951522656
RPAP2	0.26373705199999997	0.0018422479999999999	-0.191841822	0.195212128
ZMYND11	0.349933334	0.002054334	-0.358028384	0.032570987999999995
VRK3	0.324256046	0.00217849	-0.278224345	0.030975292999999997
NELFA	-0.302565808	0.0022609170000000003	-0.327253389	0.002962152
PHIP	0.741629257	0.0025340370000000003	-0.292453411	0.322563482
MUC1	0.5405709129999999	0.002664367	0.165353728	0.496252021
SSH1	0.327273735	0.00315124	-0.23374605	0.023569867999999997
HMGN1	0.622315159	0.003371105	-0.17796326699999998	0.48479346700000003
MNAT1	0.206071434	0.00360592	0.055727685	0.427519707
ANXA6	-0.269256862	0.003639513	0.10206541	0.449055494
API5	-0.512388042	0.003836472	0.11177753800000001	0.276347548
TCEA1	-0.246377347	0.003861914	-0.012093428	0.9019105
DDB1	0.39409313100000004	0.004348070999999999	-0.132399818	0.27770162800000003
INSRR	-0.413817111	0.004866618	-0.047394608	0.799035405
GSKIP	-0.282481518	0.0049337059999999995	0.052007615	0.813199863
SORBS1	-0.326780456	0.005122829000000001	-0.26115812899999996	0.00645979
CYP7A1	0.45181788100000003	0.005208906	0.005444699999999999	0.9753075940000001
MECP2	0.360902609	0.005258690999999999	-0.250562981	0.19687960000000002
ARPC5L	0.251992141	0.005370786	-0.08946707599999999	0.366600188
B3GNT6	0.36005148	0.005850243000000001	0.11210158699999999	0.5096534420000001
CBR3	-0.3625733	0.005875194	0.240421783	0.143187215
CRBN	-0.396551717	0.005984744	0.138962755	0.220287257
NNMT	-0.339290661	0.006047347	0.144237169	0.299084942
BST1	0.40103838299999994	0.006154392	-0.28434051	0.038447614
LZTFL1	-0.250410308	0.006488736	0.146551254	0.24261573600000003
SFXN5	0.200519771	0.006609999	0.092287682	0.40753096899999997
MYH10	-0.315302933	0.00662043	0.455167635	0.056115643
OSTF1	-0.20137464600000002	0.006633911	0.069652949	0.448334656
HIST2H2AB	0.574851731	0.006940085	-0.418482972	0.379003086
CLIC4	-0.371650319	0.007062736	0.262011144	0.052003909
RPS6KB2	-0.19495214100000002	0.007105938000000001	0.022822621	0.793324052
ATP2C1	0.20739942	0.007289084	0.20057267	0.163821514
CHMP1B	-0.207855712	0.007394253000000001	0.051601404000000003	0.584411888
SERPINA12	0.264167497	0.007423315	0.33940434	0.012179668000000001
ZNF566	0.191128763	0.0074640159999999995	-0.12241866	0.14111811900000001
PIGW	0.239573495	0.007658282	0.068345063	0.633493961
ZNF319	0.214896332	0.007875732	-0.078199792	0.286859064
ZNF280C	0.519776244	0.007917659	-0.45190643	0.039497281
C1orf52	-0.281949243	0.008032412	-0.08035612	0.512942688
